id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
,,,,,,,,,,,,,
#Abyss,,,,,,,,,,,,,
rat_core_time,Хрональный распад,6000,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, rat_core_skill, codex_unlockable",graphics/icons/skills/rat_skill_time.png,
rat_core_space,Космический заряд,6001,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, rat_core_skill, codex_unlockable",graphics/icons/skills/rat_skill_space.png,
rat_core_seraph,Серафим,6002,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, rat_core_skill, codex_unlockable",graphics/icons/skills/rat_skill_seraph.png,
rat_core_primordial,Созидание и Разрушение,6003,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, rat_core_skill, codex_unlockable",graphics/icons/skills/rat_primordial_skill.png,
,,,,,,,,,,,,,
rat_abyssal_requiem,Реквием Бездны,6050,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_abyssal_bloodstream.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#Relics,,,,,,,,,,,,,
rat_augmented,Кибернетический интерфейс,5010,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_augmented.png,
rat_biomutant,Биомодификация,5011,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_biomutant.png,
rat_mass_interface,Массовый нейроинтерфейс,5012,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_mass_interface.png,
,,,,,,,,,,,,,
rat_hyperlink,Гиперсвязь,5013,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, rat_core_skill, codex_unlockable",graphics/icons/skills/rat_hyperlink.png,
,,,,,,,,,,,,,
rat_maverick,Маверик,5014,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_maverick.png,
rat_maintaining_momentum,Поддержание импульса,5015,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_maintaining_momentum.png,
rat_perfect_planning,Безупречное планирование,5016,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_perfect_planning.png,
rat_auto_engineer,Автоинженер,5010,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/rat_auto_engineer.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#Exo,,,,,,,,,,,,,
rat_exo_processor,Обработка P-пространства,6000,1,0,,???,???,TRUE,FALSE,FALSE,"npc_only, ai_core_only, rat_core_skill, codex_unlockable",graphics/icons/skills/rat_exo_processor.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#Apt,,,,,,,,,,,,,
rat_abyss_cores_aptitude,,0,,,,,,,,,npc_only,graphics/icons/skills/category_combat.png,
rat_abyss_abyssal_aptitude,,0,,,,,,,,,npc_only,graphics/icons/skills/category_combat.png,
rat_exo_aptitude,,0,,,,,,,,,npc_only,graphics/icons/skills/category_combat.png,
