id
День Возвышения
День Командования
День Славного Командования
День Первого Триумфа
День Правого Дела
Зов Судьбы
Авангард Судьбы
Вечное Согласие
Вечный Триумф
Вечно Победоносные
Первый Триумф
Во Славу
Слава Основателей
Слава Основателям
Золотой Век
Золотой Горизонт
Хранители
Восходящий Горизонт
Восход Горизонта
Непобедимые
Марш Непобедимых
Миротворцы
Щит Народа
Шествие Победоносных
День Процветания
Обряд Вечного Горизонта
Обряд Золотого Века
Судьба Сектора
Воля Сектора
Стальной Горизонт
Марш Силы
Мир Через Силу
Марш Процветания
Неуклонное Шествие
Непреклонный Марш
Триумф Народа
Триумф Без Конца
Нерушимое Единство
Нерушимое Единство
Непокоренные
Шествие Непокоренных
Неуклонные
Непреклонные
Марш Авангарда
Авангард Цивилизации
Победоносные
Знамя Победителей
Бдительность
Без Конца
